trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",25,0,-46.107562296165376,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",20,0,-146.64856630430603,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",30,0,-204.25514634867594,"{0: 14, 1: 6, 2: 7, 3: 0, 4: 3}",0
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",30,0,-291.39810124611415,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 5}",0
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",20,0,-30.343185181706797,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",20,0,-73.39215150300231,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
68,False,"{'a': 0.002, 'e': 0.874590064603334}",25,0,-139.03610631930712,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",25,0,-146.81041848572596,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
70,False,"{'a': 0.002, 'e': 0.8710986917457983}",20,0,-35.86514796198731,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.002, 'e': 0.8693582353988059}",25,0,-132.03585364389735,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
72,False,"{'a': 0.002, 'e': 0.867621256485914}",20,0,-29.129468220532416,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
73,False,"{'a': 0.002, 'e': 0.865887748059205}",20,0,-152.54774431763485,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
74,False,"{'a': 0.002, 'e': 0.8641577031846428}",25,11,-40.00703187064644,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
75,False,"{'a': 0.002, 'e': 0.8624311149420455}",25,0,-136.74838469315327,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
76,False,"{'a': 0.002, 'e': 0.8607079764250578}",25,0,-119.45948756048303,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
77,False,"{'a': 0.002, 'e': 0.8589882807411234}",30,0,-167.52486623274092,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
78,False,"{'a': 0.002, 'e': 0.8572720210114575}",20,0,-114.94809535093464,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
79,False,"{'a': 0.002, 'e': 0.8555591903710185}",30,0,-160.70354803963892,"{0: 20, 1: 1, 2: 4, 3: 3, 4: 2}",0
80,False,"{'a': 0.002, 'e': 0.8538497819684817}",25,0,-30.482920876670843,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.002, 'e': 0.8521437889662113}",20,0,-141.09089682166834,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
82,False,"{'a': 0.002, 'e': 0.850441204540233}",25,0,-190.26831849692758,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
83,False,"{'a': 0.002, 'e': 0.8487420218802068}",20,0,-191.62882099879923,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
84,False,"{'a': 0.002, 'e': 0.8470462341893996}",20,0,-208.90480271410146,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
85,False,"{'a': 0.002, 'e': 0.8453538346846587}",25,11,-72.74637930481428,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
86,False,"{'a': 0.002, 'e': 0.8436648165963837}",20,0,-130.3052154821227,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
